Time,Wind,Athlete,Nationality,Location,Date
10.70,1.6,Florence Griffith-Joyner,United States,"Indianapolis, United States","July 17, 1988[3]"
10.61,1.2,Florence Griffith-Joyner,United States,"Indianapolis, United States","July 17, 1988[3]"
