Date,h,m,s,ms,Time,Wind,Auto,event,sex,Athlete,Nationality
1954-08-29,00,13,56,60,00:13:56.60,NA,NA,5000,m,Vladimir Kuts (URS),NA
1954-10-13,00,13,51,60,00:13:51.60,NA,NA,5000,m,Chris Chataway (GBR),NA
1954-10-23,00,13,51,20,00:13:51.20,NA,NA,5000,m,Vladimir Kuts (URS),NA
1955-07-28,00,03,40,80,00:03:40.80,NA,NA,1500,m,Sándor Iharos (HUN),NA
1955-09-06,00,03,40,80,00:03:40.80,NA,NA,1500,m,László Tábori (HUN),NA
1955-09-06,00,03,40,80,00:03:40.80,NA,NA,1500,m,Gunnar Nielsen (DEN),NA
1955-09-10,00,13,50,80,00:13:50.80,NA,NA,5000,m,Sandor Iharos (HUN),NA
1955-09-18,00,13,46,80,00:13:46.80,NA,NA,5000,m,Vladimir Kuts (URS),NA
1955-10-23,00,13,40,60,00:13:40.60,NA,NA,5000,m,Sandor Iharos (HUN),NA
1956-05-17,00,04,35,40,00:04:35.40,NA,NA,1500,w,Phyllis Perkins (GBR),NA
1956-06-19,00,13,36,80,00:13:36.80,NA,NA,5000,m,Gordon Pirie (GBR),NA
1956-08-03,00,03,40,60,00:03:40.60,NA,NA,1500,m,István Rózsavölgyi (HUN),NA
1957-05-16,00,04,30,00,00:04:30.00,NA,NA,1500,w,Diane Leather (GBR),NA
1957-07-11,00,03,40,20,00:03:40.20,NA,NA,1500,m,Olavi Salsola (FIN),NA
1957-07-11,00,03,40,20,00:03:40.20,NA,NA,1500,m,Olavi Salonen (FIN),NA
1957-07-12,00,03,38,10,00:03:38.10,NA,NA,1500,m,Stanislav Jungwirth (TCH),NA
1957-07-19,00,04,29,70,00:04:29.70,NA,NA,1500,w,Diane Leather (GBR),NA
1957-10-13,00,13,35,00,00:13:35.00,NA,NA,5000,m,Vladimir Kuts (URS),NA
1958-08-28,00,03,36,00,00:03:36.00,NA,NA,1500,m,Herb Elliott (AUS),NA
1960-09-06,00,03,35,60,00:03:35.60,NA,NA,1500,m,Herb Elliott (AUS),NA
1962-12-08,00,04,19,00,00:04:19.00,NA,NA,1500,w,Marise Chamberlain (NZL),NA
1965-01-16,00,13,34,80,00:13:34.80,NA,NA,5000,m,Ron Clarke (AUS),NA
1965-02-01,00,13,33,60,00:13:33.60,NA,NA,5000,m,Ron Clarke (AUS),NA
1965-06-04,00,13,25,80,00:13:25.80,NA,NA,5000,m,Ron Clarke (AUS),NA
1965-11-30,00,13,24,20,00:13:24.20,NA,NA,5000,m,Kipchoge Keino (KEN),NA
1966-06-01,00,39,25,00,00:39:25.00,NA,NA,10000,w,Gertrud Schmidt (GER),NA
1966-06-02,00,39,10,00,00:39:10.00,NA,NA,10000,w,Hannelore Middeke (GER),NA
1966-07-05,00,13,16,60,00:13:16.60,NA,NA,5000,m,Ron Clarke (AUS),NA
1967-03-26,00,38,06,40,00:38:06.40,NA,NA,10000,w,Ann O'Brien (IRL),NA
1967-06-03,00,04,17,30,00:04:17.30,NA,NA,1500,w,Anne Smith (GBR),NA
1967-07-08,00,03,33,10,00:03:33.10,NA,NA,1500,m,Jim Ryun (USA),NA
1967-10-24,00,04,15,60,00:04:15.60,NA,NA,1500,w,Maria Gommers (NED),NA
1969-05-11,00,16,17,40,00:16:17.40,NA,NA,5000,w,Paola Pigni (ITA),NA
1969-07-02,00,04,12,40,00:04:12.40,NA,NA,1500,w,Paola Pigni (ITA),NA
1969-09-02,00,15,53,60,00:15:53.60,NA,NA,5000,w,Paola Pigni (ITA),NA
1969-09-20,00,04,10,70,00:04:10.70,NA,4:10.77,1500,w,Jaroslava Jehličková (CZE),NA
1970-05-09,00,35,30,50,00:35:30.50,NA,NA,10000,w,Paola Pigni (ITA),NA
1971-06-12,00,34,51,00,00:34:51.00,NA,NA,10000,w,Kathy Gibbons (USA),NA
1971-08-15,00,04,09,60,00:04:09.60,NA,4:09.62,1500,w,Karin Burneleit (GDR),NA
1972-07-18,00,04,06,90,00:04:06.90,NA,NA,1500,w,Ludmila Bragina (URS),NA
1972-09-04,00,04,06,50,00:04:06.50,NA,4:06.47,1500,w,Ludmila Bragina (URS),NA
1972-09-07,00,04,05,10,00:04:05.10,NA,4:05.07,1500,w,Ludmila Bragina (URS),NA
1972-09-09,00,04,01,40,00:04:01.40,NA,4:01.38,1500,w,Ludmila Bragina (URS),NA
1972-09-14,00,13,16,40,00:13:16.40,NA,NA,5000,m,Lasse Virén (FIN),NA
1972-09-20,00,13,13,00,00:13:13.00,NA,NA,5000,m,Emiel Puttemans (BEL),NA
1974-02-02,00,03,32,20,00:03:32.20,NA,3:32.16,1500,m,Filbert Bayi (TAN),NA
1975-03-29,00,35,00,40,00:35:00.40,NA,NA,10000,w,Julie Brown (USA),NA
1975-08-20,00,34,01,40,00:34:01.40,NA,NA,10000,w,Christa Vahlensieck (FRG),NA
1976-06-28,00,03,56,00,00:03:56.00,NA,NA,1500,w,Tatyana Kazankina (URS),NA
1977-03-16,00,15,41,40,00:15:41.40,NA,NA,5000,w,Natalia Mărășescu (ROM),NA
1977-03-19,00,33,34,17,00:33:34.17,NA,NA,10000,w,Loa Olafsson (DEN),NA
1977-06-09,00,33,15,09,00:33:15.09,NA,NA,10000,w,Peg Neppel (USA),NA
1977-07-05,00,13,12,90,00:13:12.90,NA,NA,5000,m,Dick Quax (NZL),NA
1977-07-11,00,15,37,00,00:15:37.00,NA,NA,5000,w,Janice Merrill (USA),NA
1978-01-22,00,32,43,20,00:32:43.20,NA,NA,10000,w,Natalia Mărăşescu (ROM),NA
1978-04-06,00,31,45,40,00:31:45.40,NA,NA,10000,w,Loa Olafsson (DEN),NA
1978-04-08,00,13,08,40,00:13:08.40,NA,NA,5000,m,Henry Rono (KEN),NA
1978-05-26,00,15,35,52,00:15:35.52,NA,NA,5000,w,Kathy Mills (USA),NA
1979-05-19,00,15,33,80,00:15:33.80,NA,NA,5000,w,Janice Merrill (USA),NA
1979-08-15,00,03,32,10,00:03:32.10,NA,3:32.03,1500,m,Sebastian Coe (GBR),NA
1980-03-22,00,15,30,60,00:15:30.60,NA,NA,5000,w,Janice Merrill (USA),NA
1980-07-06,00,03,55,00,00:03:55.00,NA,NA,1500,w,Tatyana Kazankina (URS),NA
1980-07-15,00,03,32,10,00:03:32.10,NA,3:32.09,1500,m,Steve Ovett (GBR),NA
1980-08-03,00,03,52,47,00:03:52.47,NA,NA,1500,w,Tatyana Kazankina (URS),NA
1980-08-27,00,03,31,40,00:03:31.40,NA,3:31.36,1500,m,Steve Ovett (GBR),NA
1981-07-11,00,15,28,43,00:15:28.43,NA,NA,5000,w,Ingrid Kristiansen (NOR),NA
1981-08-07,00,32,30,80,00:32:30.80,NA,NA,10000,w,Olga Krentser (URS),NA
1981-09-06,00,15,24,60,00:15:24.60,NA,NA,5000,w,Yelena Sipatova (URS),NA
1981-09-13,00,13,06,20,00:13:06.20,NA,NA,5000,m,Henry Rono (KEN),NA
1981-09-13,00,15,14,51,00:15:14.51,NA,NA,5000,w,Paula Fudge (GBR),NA
1981-10-19,00,32,17,20,00:32:17.20,NA,NA,10000,w,Yelena Sipatova (URS),NA
1982-03-17,00,15,13,22,00:15:13.22,NA,NA,5000,w,Anne Audain (NZL),NA
1982-07-05,00,15,08,26,00:15:08.26,NA,NA,5000,w,Mary Decker-Slaney (USA),NA
1982-07-07,00,13,00,41,00:13:00.41,NA,NA,5000,m,David Moorcroft (GBR),NA
1982-07-16,00,31,35,30,00:31:35.30,NA,NA,10000,w,Mary Decker-Slaney (USA),NA
1983-05-29,00,31,35,01,00:31:35.01,NA,NA,10000,w,Lyudmila Baranova (URS),NA
1983-08-28,00,03,31,24,00:03:31.24,NA,NA,1500,m,Sydney Maree (USA),NA
1983-09-04,00,03,30,77,00:03:30.77,NA,NA,1500,m,Steve Ovett (GBR),NA
1983-09-07,00,31,27,58,00:31:27.58,NA,NA,10000,w,Raisa Sadreydinova (URS),NA
1984-06-24,00,31,13,78,00:31:13.78,NA,NA,10000,w,Olga Bondarenko (URS),NA
1984-06-28,00,14,58,89,00:14:58.89,NA,NA,5000,w,Ingrid Kristiansen (NOR),NA
1985-07-16,00,03,29,67,00:03:29.67,NA,NA,1500,m,Steve Cram (GBR),NA
1985-07-22,00,13,00,40,00:13:00.40,NA,NA,5000,m,Saïd Aouita (MAR),NA
1985-07-27,00,30,59,42,00:30:59.42,NA,NA,10000,w,Ingrid Kristiansen (NOR),NA
1985-08-23,00,03,29,46,00:03:29.46,NA,NA,1500,m,Saïd Aouita (MAR),NA
1985-08-26,00,14,48,07,00:14:48.07,NA,NA,5000,w,Zola Budd (GBR),NA
1986-07-05,00,30,13,74,00:30:13.74,NA,NA,10000,w,Ingrid Kristiansen (NOR),NA
1986-08-05,00,14,37,33,00:14:37.33,NA,NA,5000,w,Ingrid Kristiansen (NOR),NA
1987-07-27,00,12,58,39,00:12:58.39,NA,NA,5000,m,Saïd Aouita (MAR),NA
1992-09-06,00,03,28,86,00:03:28.86,NA,NA,1500,m,Noureddine Morceli (ALG),NA
1993-09-08,00,29,31,78,00:29:31.78,NA,NA,10000,w,Wang Junxia (CHN),NA
1993-09-11,00,03,50,46,00:03:50.46,NA,NA,1500,w,Qu Yunxia (CHN),NA
1994-06-04,00,12,56,96,00:12:56.96,NA,NA,5000,m,Haile Gebrselassie (ETH),NA
1995-06-08,00,12,55,30,00:12:55.30,NA,NA,5000,m,Moses Kiptanui (KEN),NA
1995-07-12,00,03,27,37,00:03:27.37,NA,NA,1500,m,Noureddine Morceli (ALG),NA
1995-07-22,00,14,36,45,00:14:36.45,NA,NA,5000,w,Fernanda Ribeiro (POR),NA
1995-08-16,00,12,44,39,00:12:44.39,NA,NA,5000,m,Haile Gebrselassie (ETH),NA
1997-08-13,00,12,41,86,00:12:41.86,NA,NA,5000,m,Haile Gebrselassie (ETH),NA
1997-08-22,00,12,39,74,00:12:39.74,NA,NA,5000,m,Daniel Komen (KEN),NA
1997-10-21,00,14,31,27,00:14:31.27,NA,NA,5000,w,Dong Yanmei (CHN),NA
1997-10-23,00,14,28,09,00:14:28.09,NA,NA,5000,w,Jiang Bo (CHN),NA
1998-06-13,00,12,39,36,00:12:39.36,NA,NA,5000,m,Haile Gebrselassie (ETH),NA
1998-07-14,00,03,26,00,00:03:26.00,NA,NA,1500,m,Hicham El Guerrouj (MAR),NA
"July 2, 1978",00,00,49,19,00:00:49.19,NA,NA,400,w,Marita Koch,East Germany
2004-05-31,00,12,37,35,00:12:37.35,NA,NA,5000,m,Kenenisa Bekele (ETH),NA
2004-06-11,00,14,24,68,00:14:24.68,NA,NA,5000,w,Elvan Abeylegesse (TUR),NA
2006-06-03,00,14,24,53,00:14:24.53,NA,NA,5000,w,Meseret Defar (ETH),NA
2007-06-15,00,14,16,63,00:14:16.63,NA,NA,5000,w,Meseret Defar (ETH),NA
2008-06-06,00,14,11,15,00:14:11.15,NA,NA,5000,w,Tirunesh Dibaba (ETH),NA
2015-07-17,00,03,50,07,00:03:50.07,NA,NA,1500,w,Genzebe Dibaba (ETH),NA
2016-08-12,00,29,17,45,00:29:17.45,NA,NA,10000,w,Almaz Ayana (ETH),NA
2020-08-14,00,12,35,36,00:12:35.36,NA,NA,5000,m,Joshua Cheptegei (UGA),NA
2020-10-07,00,14,06,62,00:14:06.62,NA,NA,5000,w,Letesenbet Gidey (ETH),NA
"June 22, 1974",00,00,49,90,00:00:49.90,NA,NA,400,w,Irena Szewińska,Poland
"June 22, 1976",00,00,49,75,00:00:49.75,NA,NA,400,w,Irena Szewińska,Poland
"July 23, 1970",00,00,51,00,00:00:51.00,NA,51.02,400,w,Marilyn Neufville,Jamaica
"October 23, 1962",00,00,51,90,00:00:51.90,NA,NA,400,w,Shin Geum-Dan,North Korea
"February 24, 1957",00,00,56,30,00:00:56.30,NA,NA,400,w,Nancy Boyle,Australia
"July 29, 1976",00,00,49,29,00:00:49.29,NA,NA,400,w,Irena Szewińska,Poland
"July 29, 1979",00,00,48,89,00:00:48.89,NA,NA,400,w,Marita Koch,East Germany
"August 31, 1978",00,00,48,94,00:00:48.94,NA,NA,400,w,Marita Koch,East Germany
"August 4, 1979",00,00,48,60,00:00:48.60,NA,NA,400,w,Marita Koch,East Germany
"July 4, 1972",00,00,51,00,00:00:51.00,NA,51.08,400,w,Monika Zehrt,East Germany
"September 4, 1974",00,00,50,14,00:00:50.14,NA,NA,400,w,Riitta Salin,Finland
"January 6, 1957",00,00,57,00,00:00:57.00,NA,NA,400,w,Marlene Mathews,Australia
"July 6, 1957",00,00,53,60,00:00:53.60,NA,NA,400,w,Mariya Itkina,Soviet Union
"October 6, 1985",00,00,47,60,00:00:47.60,NA,NA,400,w,Marita Koch,East Germany
"June 6, 1957",00,00,54,00,00:00:54.00,NA,NA,400,w,Mariya Itkina,Soviet Union
"September 8, 1982",00,00,48,16,00:00:48.16,NA,NA,400,w,Marita Koch,East Germany
"May 9, 1976",00,00,49,77,00:00:49.77,NA,NA,400,w,Christina Brehmer,East Germany
"April 10, 1935",00,00,11,90,00:00:11.90,NA,NA,100,w,Helen Stephens,United States
"April 13, 1895",00,00,10,80,00:00:10.80,NA,NA,100,m,L. Atcherley,United Kingdom
"April 13, 2003",02,15,25,00,02:15:25.00,NA,NA,marathon,w,Paula Radcliffe,United Kingdom
"April 14, 2002",02,05,38,00,02:05:38.00,NA,NA,marathon,m,Khalid Khannouchi,United States
"April 17, 1983",02,25,28,70,02:25:28.70,NA,NA,marathon,w,Grete Waitz,Norway
"April 17, 1988",02,06,50,00,02:06:50.00,NA,NA,marathon,m,Belayneh Dinsamo,Ethiopia
"April 17, 2005",02,17,42,00,02:17:42.00,NA,NA,marathon,w,Paula Radcliffe,Great Britain
"April 18, 1959",00,00,10,10,00:00:10.10,1.3,NA,100,m,Ray Norton,United States
"April 18, 1983",02,22,43,00,02:22:43.00,NA,NA,marathon,w,Joan Benoit,United States
"April 19, 1947",02,25,39,00,02:25:39.00,NA,NA,marathon,m,Suh Yun-bok,Korea
"April 19, 1998",02,20,47,00,02:20:47.00,NA,NA,marathon,w,Tegla Loroupe,Kenya
"April 2, 1968",00,00,10,00,00:00:10.00,0.0,NA,100,m,Paul Nash,South Africa
"April 20, 1985",02,07,12,00,02:07:12.00,NA,NA,marathon,m,Carlos Lopes,Portugal
