Date,h,m,s,ms,Time,Wind,Auto,event,sex,Athlete,Nationality
"December 18, 1963",00,28,15,60,00:28:15.60,NA,NA,10000,m,Ron Clarke (AUS),NA
"December 2, 1973",02,46,36,00,02:46:36.00,NA,NA,marathon,w,Michiko Gorman,United States
"December 3, 1967",02,09,36,40,02:09:36.40,NA,NA,marathon,m,Derek Clayton,Australia
"December 5, 1971",02,49,40,00,02:49:40.00,NA,NA,marathon,w,Cheryl Bridges,United States
"December 6, 1981",02,08,18,00,02:08:18.00,NA,NA,marathon,m,Robert De Castella,Australia
"February 12, 1909",02,46,52,80,02:46:52.80,NA,NA,marathon,m,James Clark,United States
"February 17, 1963",02,15,15,80,02:15:15.80,NA,NA,marathon,m,Toru Terasawa,Japan
"February 28, 1970",03,02,53,00,03:02:53.00,NA,NA,marathon,w,Caroline Walker,United States
"February 3, 1980",02,31,23,00,02:31:23.00,NA,NA,marathon,w,Joan Benoit,United States
"February 5, 1978",02,09,05,60,02:09:05.60,NA,NA,marathon,m,Shigeru So,Japan
"January 1, 1909",02,52,45,40,02:52:45.40,NA,NA,marathon,m,Robert Fowler,United States
"January 16, 1982",02,29,01,60,02:29:01.60,NA,NA,marathon,w,Charlotte Teske,West Germany
"January 31, 1974",02,09,12,00,02:09:12.00,NA,NA,marathon,m,Ian Thompson,United Kingdom
"July 1, 1972",00,00,09,90,00:00:09.90,0.0,NA,100,m,Eddie Hart,United States
"July 1, 1972",00,00,09,90,00:00:09.90,0.0,NA,100,m,Rey Robinson,United States
"July 1, 1972",00,00,11,00,00:00:11.00,1.4,NA,100,w,Eva Glesková,Czechoslovakia
"July 1, 1977",00,00,10,88,00:00:10.88,2.0,NA,100,w,Marlies Oelsner,East Germany
"July 10, 1993",00,26,58,38,00:26:58.38,NA,NA,10000,m,Yobes Ondieki (KEN),NA
"July 11, 1924",00,00,47,60,00:00:47.60,NA,NA,400,m,Eric Liddell,United Kingdom
"July 13, 1912",00,00,48,20,00:00:48.20,NA,NA,400,m,Charles Reidpath,United States
"July 13, 1973",00,27,30,80,00:27:30.80,NA,27:30.80,10000,m,David Bedford (GBR),NA
"July 14, 1900",00,00,10,80,00:00:10.80,NA,NA,100,m,Frank Jarvis,United States
"July 14, 1900",00,00,10,80,00:00:10.80,NA,NA,100,m,Walter Tewksbury,United States
"July 14, 1965",00,27,39,40,00:27:39.40,NA,27:39.89,10000,m,Ron Clarke (AUS),NA
"July 15, 1956",00,28,42,80,00:28:42.80,NA,NA,10000,m,Sandor Iharos (HUN),NA
"July 15, 1960",00,00,10,00,00:00:10.00,1.8,NA,100,m,Harry Jerome,Canada
"July 16, 1975",00,00,09,90,00:00:09.90,0.0,NA,100,m,Steve Williams,United States
"July 16, 1988",00,00,10,49,00:00:10.49,0.0*,NA,100,w,Florence Griffith-Joyner,United States
"July 17, 1988",00,00,10,70,00:00:10.70,1.6,NA,100,w,Florence Griffith-Joyner,United States
"July 17, 1988",00,00,10,61,00:00:10.61,1.2,NA,100,w,Florence Griffith-Joyner,United States
"July 18, 1937",00,30,05,60,00:30:05.60,NA,NA,10000,m,Ilmari Salminen (FIN),NA
"July 18, 1970",00,00,11,00,00:00:11.00,1.9,11.22,100,w,Chi Cheng,Republic of China (Taiwan)
"July 19, 1961",00,00,11,20,00:00:11.20,0.7,NA,100,w,Wilma Rudolph,United States
"July 2, 1928",00,00,12,00,00:00:12.00,NA,NA,100,w,Myrtle Cook,Canada
"July 2, 1948",00,00,45,90,00:00:45.90,NA,46.00,400,m,Herb McKenley,Jamaica
"July 2, 1967",00,00,11,10,00:00:11.10,0.3,NA,100,w,Barbara Ferrell,United States
"July 2, 1984",00,27,13,81,00:27:13.81,NA,NA,10000,m,Fernando Mamede (POR),NA
"July 20, 1973",00,00,10,80,00:00:10.80,1.8,11.07,100,w,Renate Stecher (née Meißner),East Germany
"July 21, 1964",03,19,33,00,03:19:33.00,NA,NA,marathon,w,Mildred Sampson,New Zealand
"July 22, 1952",00,00,11,50,00:00:11.50,1.7,11.65,100,w,Marjorie Jackson,Australia
"July 22, 1994",00,26,52,23,00:26:52.23,NA,NA,10000,m,William Sigei (KEN),NA
"July 23, 1970",02,09,28,80,02:09:28.80,NA,NA,marathon,m,Ron Hill,United Kingdom
"July 24, 1908",02,55,18,40,02:55:18.40,NA,NA,marathon,m,Johnny Hayes,United States
"July 25, 1976",00,00,11,01,00:00:11.01,0.6,NA,100,w,Annegret Richter,West Germany
"July 27, 1996",00,00,09,84,00:00:09.84,0.7,9.835,100,m,Donovan Bailey,Canada
"July 3, 1927",00,00,12,10,00:00:12.10,NA,NA,100,w,Gertrud Gladitsch,Germany
"July 3, 1983",00,00,09,93,00:00:09.93,1.4,NA,100,m,Calvin Smith,United States
"July 3, 1983",00,00,10,79,00:00:10.79,0.6,NA,100,w,Evelyn Ashford,United States
"July 31, 1965",00,00,11,10,00:00:11.10,0.2,NA,100,w,Wyomia Tyus,United States
"July 31, 1971",00,00,11,00,00:00:11.00,1.7,NA,100,w,Renate Stecher (née Meißner),East Germany
"July 4, 1891",00,00,10,80,00:00:10.80,NA,NA,100,m,Luther Cary,United States
"July 4, 1997",00,26,31,32,00:26:31.32,NA,NA,10000,m,Haile Gebrselassie (ETH),NA
"July 5, 1903",00,00,10,80,00:00:10.80,NA,NA,100,m,Harald Grønfeldt,Denmark
"July 5, 1929",02,30,57,60,02:30:57.60,NA,NA,marathon,m,Harry Payne,United Kingdom
"July 5, 1993",00,27,07,91,00:27:07.91,NA,NA,10000,m,Richard Chelimo (KEN),NA
"July 6, 1912",00,00,10,60,00:00:10.60,NA,NA,100,m,Donald Lippincott,United States
"July 6, 1924",00,30,23,20,00:30:23.20,NA,NA,10000,m,Ville Ritola (FIN),NA
"July 6, 1963",02,14,43,00,02:14:43.00,NA,NA,marathon,m,Brian Kilby,United Kingdom
"July 6, 1994",00,00,09,85,00:00:09.85,1.2,NA,100,m,Leroy Burrell,United States
"July 9, 1911",00,00,10,50,00:00:10.50,NA,NA,100,m,Emil Ketterer,Germany
"July 9, 1948",00,00,10,20,00:00:10.20,NA,10.35,100,m,Barney Ewell,United States
"July 9, 1965",00,00,11,10,00:00:11.10,2.0,NA,100,w,Irena Kirszenstein,Poland
"July 9, 1965",00,00,11,10,00:00:11.10,2.0,NA,100,w,Ewa Klobukowska,Poland
"July 9, 1982",00,00,10,88,00:00:10.88,1.9,NA,100,w,Marlies Göhr,East Germany
"June 1, 1935",00,00,11,80,00:00:11.80,NA,NA,100,w,Helen Stephens,United States
"June 1, 1954",00,28,54,20,00:28:54.20,NA,NA,10000,m,Emil Zátopek (CZE),NA
"June 1, 1956",00,00,10,20,00:00:10.20,−1.0,NA,100,m,Ira Murchison,United States
"June 1, 1998",00,26,22,75,00:26:22.75,NA,NA,10000,m,Haile Gebrselassie (ETH),NA
"June 11, 1949",00,29,28,20,00:29:28.20,NA,NA,10000,m,Emil Zátopek (CZE),NA
"June 11, 1978",00,27,22,40,00:27:22.40,NA,27:22.47,10000,m,Henry Rono (KEN),NA
"June 11, 2006",00,00,09,77,00:00:09.77,1.5,9.763,100,m,Asafa Powell,Jamaica
"June 12, 1965",02,12,00,00,02:12:00.00,NA,NA,marathon,m,Morio Shigematsu,Japan
"June 13, 1948",00,00,11,50,00:00:11.50,NA,NA,100,w,Fanny Blankers-Koen,Netherlands
"June 13, 1953",02,18,40,40,02:18:40.40,NA,NA,marathon,m,Jim Peters,United Kingdom
"June 13, 1964",02,13,55,00,02:13:55.00,NA,NA,marathon,m,Basil Heatley,United Kingdom
"June 13, 1976",00,00,11,04,00:00:11.04,0.6,NA,100,w,Inge Helten,West Germany
"June 14, 1903",00,00,10,80,00:00:10.80,NA,NA,100,m,André Passat,France
"June 14, 1903",00,00,10,80,00:00:10.80,NA,NA,100,m,Louis Kuhn,Switzerland
"June 14, 1952",02,20,42,20,02:20:42.20,NA,NA,marathon,m,Jim Peters,United Kingdom
"June 14, 1991",00,00,09,90,00:00:09.90,1.9,NA,100,m,Leroy Burrell,United States
"June 14, 2005",00,00,09,77,00:00:09.77,1.6,9.768,100,m,Asafa Powell,Jamaica
"June 15, 1935",00,00,10,30,00:00:10.30,2.5,NA,100,m,Takayoshi Yoshioka,Japan
"June 15, 1963",02,14,28,00,02:14:28.00,NA,NA,marathon,m,Leonard Edelen,United States
"June 15, 1972",00,00,11,00,00:00:11.00,1.9,NA,100,w,Ellen Strophal,East Germany
"June 16, 1999",00,00,09,79,00:00:09.79,0.1,NA,100,m,Maurice Greene,United States
"June 17, 1967",00,00,10,00,00:00:10.00,1.8,NA,100,m,Enrique Figuerola,Cuba
"June 19, 1936",00,00,46,10,00:00:46.10,NA,NA,400,m,Archie Williams,United States
"June 2, 1928",00,00,12,00,00:00:12.00,NA,NA,100,w,Betty Robinson,United States
"June 20, 1936",00,00,10,20,00:00:10.20,1.2,NA,100,m,Jesse Owens,United States
"June 20, 1968",00,00,10,03,00:00:10.03,0.8,NA,100,m,Jim Hines,United States
"June 20, 1968",00,00,10,00,00:00:10.00,2.0,10.20,100,m,Charles Greene,United States
"June 20, 1968",00,00,10,00,00:00:10.00,2.0,10.28,100,m,Roger Bambuck,France
"June 20, 1968",00,00,09,90,00:00:09.90,0.8,10.03,100,m,Jim Hines,United States
"June 20, 1968",00,00,09,90,00:00:09.90,0.8,10.14,100,m,Ronnie Ray Smith,United States
"June 20, 1968",00,00,09,90,00:00:09.90,0.9,10.10,100,m,Charles Greene,United States
"June 21, 1960",00,00,10,00,00:00:10.00,0.9,10.25,100,m,Armin Hary,West Germany
"June 21, 1974",00,00,09,90,00:00:09.90,1.3,NA,100,m,Steve Williams,United States
"June 22, 1921",00,30,40,20,00:30:40.20,NA,NA,10000,m,Paavo Nurmi (FIN),NA
"June 22, 1956",00,00,10,20,00:00:10.20,0.0,NA,100,m,Bobby Morrow,United States
"June 26, 1954",02,17,39,40,02:17:39.40,NA,NA,marathon,m,Jim Peters,United Kingdom
"June 29, 1956",00,00,10,20,00:00:10.20,−1.3,NA,100,m,Ira Murchison,United States
"June 29, 1956",00,00,10,20,00:00:10.20,−0.4,NA,100,m,Bobby Morrow,United States
"June 3, 1972",00,00,11,00,00:00:11.00,−1.5,NA,100,w,Renate Stecher (née Meißner),East Germany
"June 30, 1956",00,00,45,20,00:00:45.20,NA,NA,400,m,Lou Jones,United States
"June 30, 1973",00,00,10,90,00:00:10.90,NA,NA,100,w,Renate Stecher (née Meißner),East Germany
"June 30, 1977",00,27,30,50,00:27:30.50,NA,27:30.47,10000,m,Samson Kimobwa (KEN),NA
"June 5, 1932",00,00,11,90,00:00:11.90,NA,NA,100,w,Tollien Schuurman,Netherlands
"June 5, 1948",00,00,46,00,00:00:46.00,NA,NA,400,m,Herb McKenley,Jamaica
"June 5, 1975",00,00,09,90,00:00:09.90,1.7,NA,100,m,Silvio Leonard,Cuba
"June 5, 1995",00,26,43,53,00:26:43.53,NA,NA,10000,m,Haile Gebrselassie (ETH),NA
"June 6, 1941",00,00,10,20,00:00:10.20,−0.9,NA,100,m,Harold Davis,United States
"June 6, 1941",00,00,46,00,00:00:46.00,NA,NA,400,m,Grover Klemmer,United States
"June 7, 1973",00,00,10,90,00:00:10.90,1.9,NA,100,w,Renate Stecher (née Meißner),East Germany
"June 8, 1935",00,00,11,60,00:00:11.60,NA,NA,100,w,Helen Stephens,United States
"June 8, 1983",00,00,10,81,00:00:10.81,1.7,NA,100,w,Marlies Göhr,East Germany
"June 8, 2004",00,26,20,31,00:26:20.31,NA,NA,10000,m,Kenenisa Bekele (ETH),NA
"March 18, 1955",00,00,45,40,00:00:45.40,NA,45.68,400,m,Lou Jones,United States
"March 21, 1935",02,26,14,00,02:26:14.00,NA,NA,marathon,m,Sohn Kee-chung,Japanese Korea
"March 26, 1932",00,00,46,40,00:00:46.40,NA,NA,400,m,Ben Eastman,United States
"March 27, 1976",00,00,09,90,00:00:09.90,0.7,NA,100,m,Steve Williams,United States
"March 29, 1981",02,29,57,00,02:29:57.00,NA,NA,marathon,w,Joyce Smith,United Kingdom
"March 31, 1935",02,27,49,00,02:27:49.00,NA,NA,marathon,m,Fusashige Suzuki,Japan
"May 1, 1976",00,00,09,90,00:00:09.90,NA,NA,100,m,Harvey Glance,United States
"May 1, 1977",02,35,15,40,02:35:15.40,NA,NA,marathon,w,Chantal Langlacé,France
"May 12, 1912",00,00,10,50,00:00:10.50,NA,NA,100,m,Richard Rau,Germany
"May 12, 1913",02,38,16,20,02:38:16.20,NA,NA,marathon,m,Harry Green,United Kingdom
"May 12, 1928",00,00,47,00,00:00:47.00,NA,NA,400,m,Emerson Spencer,United States
"May 12, 2006",00,00,09,77,00:00:09.77,1.7,9.766,100,m,Justin Gatlin,United States
"May 13, 1923",00,00,12,80,00:00:12.80,NA,NA,100,w,Marie Mejzlíková,Czechoslovakia
"May 13, 1984",02,24,26,00,02:24:26.00,NA,NA,marathon,w,Ingrid Kristiansen,Norway
"May 15, 1948",00,00,10,20,00:00:10.20,0.7,NA,100,m,Lloyd LaBeach,Panama
"May 19, 1956",00,00,10,20,00:00:10.20,0.9,NA,100,m,Bobby Morrow,United States
"May 20, 1928",00,00,12,20,00:00:12.20,NA,NA,100,w,Kinue Hitomi,Japan
"May 20, 1967",00,00,44,50,00:00:44.50,NA,NA,400,m,Tommie Smith,United States
"May 21, 1923",00,00,12,70,00:00:12.70,NA,NA,100,w,Emmi Haux,Germany
"May 22, 1976",00,00,09,90,00:00:09.90,1.7,NA,100,m,Don Quarrie,Jamaica
"May 23, 1964",03,27,45,00,03:27:45.00,NA,NA,marathon,w,Dale Greig,United Kingdom
"May 25, 1924",00,30,35,40,00:30:35.40,NA,NA,10000,m,Ville Ritola (FIN),NA
"May 25, 1963",00,00,44,90,00:00:44.90,NA,NA,400,m,Adolph Plummer,United States
"May 26, 1909",02,42,31,00,02:42:31.00,NA,NA,marathon,m,Henry Barrett,United Kingdom
"May 26, 1912",00,00,10,50,00:00:10.50,NA,NA,100,m,Erwin Kern,Germany
"May 27, 1916",00,00,47,40,00:00:47.40,NA,NA,400,m,Ted Meredith,United States
"May 27, 1967",00,00,10,00,00:00:10.00,2.0,10.17,100,m,Jim Hines,United States
"May 3, 1975",02,40,15,80,02:40:15.80,NA,NA,marathon,w,Christa Vahlensieck,West Germany
"May 30, 1969",02,08,33,60,02:08:33.60,NA,NA,marathon,m,Derek Clayton,Australia
"May 31, 1913",02,36,06,60,02:36:06.60,NA,NA,marathon,m,Alexis Ahlgren,Sweden
"May 31, 1968",00,00,10,00,00:00:10.00,1.1,NA,100,m,Oliver Ford,United States
"May 31, 2008",00,00,09,72,00:00:09.72,1.7,NA,100,m,Usain Bolt,Jamaica
"May 6, 1939",00,00,11,50,00:00:11.50,NA,NA,100,w,Lulu Mae Hymes,United States
"May 6, 1939",00,00,11,50,00:00:11.50,NA,NA,100,w,Rowena Harrison,United States
"May 6, 1967",03,14,23,00,03:14:23.00,NA,NA,marathon,w,Maureen Wilton,Canada
"May 8, 1909",02,46,04,60,02:46:04.60,NA,NA,marathon,m,Albert Raines,United States
"May 9, 1971",03,01,42,00,03:01:42.00,NA,NA,marathon,w,Elizabeth Bonner,United States
"November 1, 1953",00,29,01,60,00:29:01.60,NA,NA,10000,m,Emil Zátopek (CZE),NA
"November 16, 1911",00,30,58,80,00:30:58.80,NA,NA,10000,m,Jean Bouin (FRA),NA
"November 16, 1980",02,30,27,00,02:30:27.00,NA,NA,marathon,w,Joyce Smith,United Kingdom
"November 29, 1914",02,38,00,80,02:38:00.80,NA,NA,marathon,m,Umberto Blasi,Italy
"November 3, 1935",02,26,42,00,02:26:42.00,NA,NA,marathon,m,Sohn Kee-chung,Japanese Korea
"October 12, 1925",02,29,01,80,02:29:01.80,NA,NA,marathon,m,Albert Michelsen,United States
"October 12, 1975",02,38,19,00,02:38:19.00,NA,NA,marathon,w,Jacqueline Hansen,United States
"October 13, 1968",00,00,10,02,00:00:10.02,2.0,NA,100,m,Charles Greene,United States
"October 13, 2002",02,17,18,00,02:17:18.00,NA,NA,marathon,w,Paula Radcliffe,United Kingdom
"October 13, 2019",02,14,04,00,02:14:04.00,NA,NA,marathon,w,Brigid Kosgei,Kenya
"October 14, 1968",00,00,09,95,00:00:09.95,0.3,NA,100,m,Jim Hines,United States
"October 14, 1968",00,00,09,90,00:00:09.90,0.3,9.95,100,m,Jim Hines,United States
"October 14, 1968",00,00,11,10,00:00:11.10,NA,NA,100,w,Barbara Ferrell,United States
"October 14, 1968",00,00,11,10,00:00:11.10,1.8,11.20,100,w,Irena Szewińska,Poland
"October 15, 1960",00,28,18,80,00:28:18.80,NA,NA,10000,m,Pyotr Bolotnikov (URS),NA
"October 15, 1964",00,00,10,06,00:00:10.06,1.3,NA,100,m,Bob Hayes,United States
"October 15, 1964",00,00,10,00,00:00:10.00,1.3,10.06,100,m,Bob Hayes,United States
"October 15, 1964",00,00,11,20,00:00:11.20,0.2,11.23,100,w,Wyomia Tyus,United States
"October 15, 1968",00,00,11,07,00:00:11.07,1.2,NA,100,w,Wyomia Tyus,United States
"October 15, 1968",00,00,11,00,00:00:11.00,1.2,11.08(adjusted),100,w,Wyomia Tyus,United States
"October 18, 1968",00,00,43,86,00:00:43.86,NA,NA,400,m,Lee Evans,United States
"October 18, 1968",00,00,43,80,00:00:43.80,NA,43.86,400,m,Lee Evans,United States
"October 20, 1956",00,00,10,10,00:00:10.10,1.5,NA,100,m,Leamon King,United States
"October 21, 1964",02,12,11,20,02:12:11.20,NA,NA,marathon,m,Abebe Bikila,Ethiopia
"October 21, 1979",02,27,32,60,02:27:32.60,NA,NA,marathon,w,Grete Waitz,Norway
"October 21, 1984",02,08,05,00,02:08:05.00,NA,NA,marathon,m,Steve Jones,United Kingdom
"October 22, 1949",00,29,21,20,00:29:21.20,NA,NA,10000,m,Emil Zátopek (CZE),NA
"October 22, 1978",02,32,29,80,02:32:29.80,NA,NA,marathon,w,Grete Waitz,Norway
"October 24, 1999",02,05,42,00,02:05:42.00,NA,NA,marathon,m,Khalid Khannouchi,Morocco
"October 25, 1981",02,25,28,00,02:25:28.00,NA,NA,marathon,w,Allison Roe,New Zealand
"October 26, 1980",02,25,41,30,02:25:41.30,NA,NA,marathon,w,Grete Waitz,Norway
"October 27, 1956",00,00,10,10,00:00:10.10,0.9,NA,100,m,Leamon King,United States
"October 27, 1974",02,46,24,00,02:46:24.00,NA,NA,marathon,w,Chantal Langlacé,France
"October 3, 1926",03,40,22,00,03:40:22.00,NA,NA,marathon,w,Violet Piercy,United Kingdom
"October 31, 1954",00,00,10,20,00:00:10.20,1.1,NA,100,m,Heinz Fütterer,West Germany
"October 4, 1952",00,00,11,40,00:00:11.40,1.7,NA,100,w,Marjorie Jackson,Australia
"October 4, 1953",02,18,34,80,02:18:34.80,NA,NA,marathon,m,Jim Peters,United Kingdom
"October 6, 1900",00,00,10,80,00:00:10.80,NA,NA,100,m,Walter Tewksbury,United States
"October 7, 2001",02,18,47,00,02:18:47.00,NA,NA,marathon,w,Catherine Ndereba,Kenya
"October 7, 2020",00,26,11,00,00:26:11.00,NA,NA,10000,m,Joshua Cheptegei (UGA),NA
"September 1, 1949",00,29,27,20,00:29:27.20,NA,NA,10000,m,Viljo Heino (FIN),NA
"September 10, 1899",00,00,10,80,00:00:10.80,NA,NA,100,m,Isaac Westergren,Sweden
"September 10, 1960",02,15,16,20,02:15:16.20,NA,NA,marathon,m,Abebe Bikila,Ethiopia
"September 10, 1977",02,34,47,50,02:34:47.50,NA,NA,marathon,w,Christa Vahlensieck,West Germany
"September 11, 1898",00,00,10,80,00:00:10.80,NA,NA,100,m,Isaac Westergren,Sweden
"September 11, 1956",00,28,30,40,00:28:30.40,NA,NA,10000,m,Vladimir Kuts (URS),NA
"September 12, 1964",00,00,44,90,00:00:44.90,NA,NA,400,m,Mike Larrabee,United States
"September 12, 1982",02,26,12,00,02:26:12.00,NA,NA,marathon,w,Joan Benoit,United States
"September 13, 1925",00,00,12,20,00:00:12.20,NA,NA,100,w,Leni Junker,Germany
"September 13, 1958",00,00,11,30,00:00:11.30,1.4,NA,100,w,Vera Krepkina,Soviet Union
"September 14, 1968",00,00,44,10,00:00:44.10,NA,44.19,400,m,Larry James,United States
"September 14, 2002",00,00,09,78,00:00:09.78,2.0,NA,100,m,Tim Montgomery,United States
"September 15, 1934",00,00,10,30,00:00:10.30,NA,NA,100,m,Ralph Metcalfe,United States
"September 16, 1920",00,00,10,60,00:00:10.60,NA,NA,100,m,Jackson Scholz,United States
"September 16, 1967",03,07,27,20,03:07:27.20,NA,NA,marathon,w,Anni Pede-Erdkamp,West Germany
"September 16, 2018",02,01,39,00,02:01:39.00,NA,NA,marathon,m,Eliud Kipchoge,Kenya
"September 17, 1933",00,00,11,80,00:00:11.80,NA,NA,100,w,Stanisława Walasiewicz[2],Poland
"September 17, 1939",00,29,52,60,00:29:52.60,NA,NA,10000,m,Taisto Mäki (FIN),NA
"September 19, 1971",02,55,22,00,02:55:22.00,NA,NA,marathon,w,Elizabeth Bonner,United States
"September 2, 1960",00,00,11,30,00:00:11.30,0.8,11.41,100,w,Wilma Rudolph,United States
"September 2, 1972",00,00,11,07,00:00:11.07,0.2,NA,100,w,Renate Stecher (née Meißner),East Germany
"September 20, 1998",02,06,05,00,02:06:05.00,NA,NA,marathon,m,Ronaldo da Costa,Brazil
"September 23, 1900",00,00,10,80,00:00:10.80,NA,NA,100,m,Carl Ljung,Sweden
"September 23, 1934",00,00,10,30,00:00:10.30,2.0,NA,100,m,Ralph Metcalfe,United States
"September 24, 1988",00,00,09,79,00:00:09.79,1.1,NA,100,m,Ben Johnson,Canada
"September 24, 1988",00,00,09,92,00:00:09.92,1.1,NA,100,m,Carl Lewis,United States
"September 25, 1892",00,00,10,80,00:00:10.80,NA,NA,100,m,Cecil Lee,United Kingdom
"September 25, 2011",02,03,38,00,02:03:38.00,NA,NA,marathon,m,Patrick Makau,Kenya
"September 26, 1936",00,00,10,30,00:00:10.30,0.5,NA,100,m,Lennart Strandberg,Sweden
"September 26, 1999",02,20,43,00,02:20:43.00,NA,NA,marathon,w,Tegla Loroupe,Kenya
"September 28, 2003",02,04,55,00,02:04:55.00,NA,NA,marathon,m,Paul Tergat,Kenya
"September 28, 2008",02,03,59,00,02:03:59.00,NA,NA,marathon,m,Haile Gebrselassie,Ethiopia
"September 28, 2014",02,02,57,00,02:02:57.00,NA,NA,marathon,m,Dennis Kimetto,Kenya
"September 29, 1900",00,00,47,80,00:00:47.80,NA,NA,400,m,Maxie Long,United States
"September 29, 1918",05,40,30,00,05:40:30.00,NA,NA,marathon,w,Marie-Louise Ledru,France
"September 29, 1938",00,30,02,00,00:30:02.00,NA,NA,10000,m,Taisto Mäki (FIN),NA
"September 29, 2013",02,03,23,00,02:03:23.00,NA,NA,marathon,m,Wilson Kipsang,Kenya
"September 3, 1972",00,27,38,40,00:27:38.40,NA,27:38.35,10000,m,Lasse Virén (FIN),NA
"September 30, 2001",02,19,46,00,02:19:46.00,NA,NA,marathon,w,Naoko Takahashi,Japan
"September 30, 2007",02,04,26,00,02:04:26.00,NA,NA,marathon,m,Haile Gebrselassie,Ethiopia
"September 5, 1943",00,00,11,50,00:00:11.50,NA,NA,100,w,Fanny Blankers-Koen,Netherlands
"September 6, 1960",00,00,44,90,00:00:44.90,NA,45.07,400,m,Otis Davis,United States
"September 6, 1960",00,00,44,90,00:00:44.90,NA,45.08,400,m,Carl Kaufmann,Germany
"September 6, 1980",02,30,57,10,02:30:57.10,NA,NA,marathon,w,Patti Catalano,United States
"September 9, 2007",00,00,09,74,00:00:09.74,1.7,9.735,100,m,Asafa Powell,Jamaica
