"County"	"id"	sun
"Union County, AR"	"05139"	16986.02
"Van Buren County, AR"	"05141"	16275.59
"Washington County, AR"	"05143"	16165.61
"White County, AR"	"05145"	16424.91
"Woodruff County, AR"	"05147"	16505.67
"Yell County, AR"	"05149"	16386.41
"Alameda County, CA"	"06001"	19159.13
"Alpine County, CA"	"06003"	18911.65
"Amador County, CA"	"06005"	18777.30
"Butte County, CA"	"06007"	18373.40
"Calaveras County, CA"	"06009"	18894.23
"Colusa County, CA"	"06011"	18724.46
"Contra Costa County, CA"	"06013"	18949.07
"Del Norte County, CA"	"06015"	17308.91
"El Dorado County, CA"	"06017"	18700.46
"Fresno County, CA"	"06019"	19368.97
"Glenn County, CA"	"06021"	18534.71
"Humboldt County, CA"	"06023"	17788.95
"Imperial County, CA"	"06025"	20774.77
"Inyo County, CA"	"06027"	19768.63
"Kern County, CA"	"06029"	19911.45
"Kings County, CA"	"06031"	19627.67
"Lake County, CA"	"06033"	18842.96
"Lassen County, CA"	"06035"	18264.21
"Los Angeles County, CA"	"06037"	20247.91
"Madera County, CA"	"06039"	19186.09
"Marin County, CA"	"06041"	18309.92
"Mariposa County, CA"	"06043"	19139.58
"Mendocino County, CA"	"06045"	18535.76
"Merced County, CA"	"06047"	19468.78
"Modoc County, CA"	"06049"	17762.18
"Mono County, CA"	"06051"	18989.93
"Monterey County, CA"	"06053"	19875.90
"Napa County, CA"	"06055"	18878.47
"Nevada County, CA"	"06057"	18712.17
"Orange County, CA"	"06059"	20000.98
"Placer County, CA"	"06061"	18647.86
"Plumas County, CA"	"06063"	18492.75
"Riverside County, CA"	"06065"	20596.16
"Sacramento County, CA"	"06067"	18705.22
"San Benito County, CA"	"06069"	19688.60
"San Bernardino County, CA"	"06071"	20094.62
"San Diego County, CA"	"06073"	20494.52
"San Francisco County, CA"	"06075"	18386.00
"San Joaquin County, CA"	"06077"	19063.39
"San Luis Obispo County, CA"	"06079"	20058.51
"San Mateo County, CA"	"06081"	18799.18
"Santa Barbara County, CA"	"06083"	20497.85
"Santa Clara County, CA"	"06085"	19330.61
"Santa Cruz County, CA"	"06087"	18774.12
"Shasta County, CA"	"06089"	18094.83
"Sierra County, CA"	"06091"	18704.05
"Siskiyou County, CA"	"06093"	17864.41
"Solano County, CA"	"06095"	18899.85
"Sonoma County, CA"	"06097"	18692.92
"Stanislaus County, CA"	"06099"	19306.44
"Sutter County, CA"	"06101"	18594.13
"Tehama County, CA"	"06103"	18230.34
"Trinity County, CA"	"06105"	18065.13
